-----Experiment Information-----
Algorithm
|	Type: Evolutionary Algorithm
File Paths
|	Problem file: 50Shapes.txt
|	Configuration file: 50ShapesRand.json
|	Log file: logs/50ShapesRand.txt
|	Solution file: solutions/50ShapesRand.txt
RNG
|	Type: time
|	Seed: 1571876437684
Experiment
|	Number of Runs: 30
|	Number of Evaluations: 1000
EA Settings
|	Initialization Strategy: uniform-random
|	Initial Population Seeding: False
|	Parent Selection: uniform-random
|	Survival Strategy: plus
|	Survival Selection: uniform-random
|	Termination Condition: evaluations
|	Population Size: 100
|	Offspring Count: 10
|	Number of Runs: 30
|	Mutation Rate: 0.3
--------------------------------

Result Log

Run 1
Run 4
100	3.59	19	0.15	2
110	3.68	19	0.16	2
120	3.69	19	0.15	2
130	3.86	19	0.16	2
140	4.01	19	0.17	2
150	4.18	19	0.17	1
160	4.23	19	0.16	1
170	4.02	19	0.12	1
180	4.32	19	0.11	1
190	3.9	19	0.12	1
200	3.58	15	0.13	2
210	3.51	13	0.12	2
220	3.4	13	0.14	2
230	3.57	13	0.15	2
240	3.54	13	0.13	2
250	3.56	13	0.13	2
260	3.8	14	0.09	2
270	3.83	14	0.12	2
280	3.84	14	0.1	2
290	3.78	14	0.11	2
300	4.29	19	0.1	2
310	4.13	19	0.11	2
320	3.77	14	0.14	2
330	3.79	14	0.15	2
340	3.9	14	0.17	2
350	3.75	14	0.19	2
360	3.88	14	0.21	2
370	3.98	14	0.24	2
380	3.89	14	0.23	2
390	3.87	14	0.23	2
400	4.08	14	0.23	2
410	4.08	14	0.22	2
420	4.06	14	0.21	2
430	4.09	14	0.17	2
440	4.03	21	0.17	2
450	4.16	21	0.19	2
460	4.14	21	0.17	2
470	4.21	21	0.18	2
480	3.93	14	0.23	2
490	4.08	15	0.2	2
500	4.25	15	0.19	2
510	4.2	15	0.18	2
520	4.16	15	0.15	2
530	4.23	15	0.18	2
540	4.45	15	0.17	2
550	4.49	15	0.16	2
560	4.49	15	0.18	2
570	4.37	15	0.17	2
580	4.36	17	0.19	2
590	4.22	17	0.18	2
600	4.19	17	0.17	2
610	4.18	17	0.17	2
620	4.21	17	0.16	2
630	4.11	17	0.16	2
640	3.95	17	0.17	2
650	4.04	17	0.21	2
660	4.14	17	0.2	2
670	4.23	18	0.2	2
680	4.08	18	0.21	2
690	4.09	23	0.22	2
700	3.85	18	0.25	3
710	3.89	18	0.25	3
720	3.79	18	0.22	3
730	4.21	18	0.22	3
740	4.33	18	0.22	3
750	4.14	18	0.2	3
760	4.41	22	0.21	3
770	4.36	22	0.24	3
780	4.41	22	0.23	3
790	4.38	22	0.28	3
800	4.35	22	0.25	3
810	3.95	22	0.27	3
820	4.02	22	0.27	3
830	4.3	22	0.26	3
840	4.51	22	0.25	3
850	4.61	22	0.23	3
860	4.72	22	0.18	2
870	4.88	22	0.19	2
880	4.46	22	0.18	2
890	4.46	22	0.17	2
900	4.21	22	0.16	2
910	4.21	22	0.13	1
920	4.13	22	0.13	1
930	3.98	22	0.17	2
940	4.06	22	0.16	2
950	4.03	22	0.15	2
960	4.06	22	0.18	2
970	4.05	22	0.22	2
980	3.84	17	0.23	2
990	4.01	18	0.22	2
1000	3.92	18	0.23	2

Run 5
100	4.54	18	0.19	2
110	4.52	18	0.17	2
120	4.74	18	0.18	2
130	4.68	18	0.17	2
140	4.4	18	0.17	2
150	4.32	18	0.17	2
160	4.52	18	0.17	2
170	4.39	18	0.14	2
180	4.41	18	0.16	2
190	4.45	18	0.17	2
200	4.38	18	0.21	2
210	3.8	17	0.21	2
220	4.19	27	0.21	2
230	3.9	27	0.19	2
240	3.88	27	0.22	3
250	3.95	27	0.21	3
260	4.05	27	0.22	3
270	3.82	27	0.24	3
280	3.7	27	0.25	3
290	3.85	27	0.24	3
300	3.77	27	0.22	3
310	3.94	27	0.24	3
320	3.9	27	0.25	3
330	3.93	27	0.24	3
340	3.9	27	0.23	3
350	4.07	27	0.23	3
360	4.24	27	0.24	3
370	4.69	27	0.23	2
380	4.72	27	0.25	2
390	4.89	27	0.26	2
400	4.27	27	0.25	2
410	4.48	27	0.26	2
420	4.51	27	0.31	2
430	4.41	27	0.31	2
440	4.5	27	0.25	2
450	4.33	27	0.25	2
460	4.4	27	0.25	2
470	4.43	27	0.23	2
480	4.87	27	0.25	2
490	4.53	18	0.23	2
500	4.46	18	0.23	2
510	4.5	18	0.22	2
520	4.41	15	0.22	2
530	4.5	15	0.22	2
540	4.68	15	0.19	2
550	4.53	15	0.21	2
560	4.5	15	0.2	2
570	4.65	18	0.22	2
580	4.63	17	0.22	2
590	4.88	30	0.26	2
600	4.63	30	0.27	2
610	4.86	30	0.27	3
620	5.03	30	0.28	3
630	4.93	30	0.23	2
640	4.98	30	0.23	2
650	5.04	30	0.23	2
660	5.05	30	0.22	2
670	4.82	30	0.22	2
680	4.92	30	0.18	2
690	4.77	30	0.15	2
700	5.17	30	0.14	2
710	4.97	30	0.17	2
720	4.82	30	0.17	2
730	4.56	30	0.2	2
740	4.55	30	0.22	2
750	4.75	30	0.25	2
760	4.31	21	0.24	2
770	4.03	21	0.26	3
780	4.07	21	0.19	3
790	3.83	21	0.16	3
800	3.85	21	0.17	3
810	3.98	21	0.14	3
820	3.75	21	0.13	3
830	3.8	21	0.14	3
840	3.63	21	0.16	3
850	3.71	21	0.16	3
860	3.84	21	0.13	1
870	3.9	21	0.14	1
880	3.84	21	0.16	1
890	4.01	21	0.16	1
900	3.99	21	0.15	1
910	4.12	21	0.16	1
920	4.47	21	0.15	1
930	4.49	21	0.19	1
940	4.22	21	0.18	1
950	4.28	21	0.17	1
960	4.0	21	0.17	1
970	3.88	21	0.2	3
980	3.98	21	0.17	3
990	3.79	21	0.18	3
1000	3.86	13	0.2	3

Run 6
100	3.92	18	0.28	3
110	4.05	18	0.26	3
120	3.86	18	0.27	3
130	3.87	18	0.27	3
140	3.96	18	0.25	3
150	4.03	18	0.2	3
160	4.26	18	0.25	3
170	4.3	18	0.26	3
180	4.29	18	0.27	3
190	4.18	17	0.29	3
200	4.13	17	0.24	3
210	4.17	20	0.22	3
220	4.48	20	0.23	3
230	4.41	20	0.19	3
240	4.25	20	0.17	3
250	4.34	20	0.18	3
260	3.98	19	0.23	3
270	4.05	19	0.24	3
280	3.96	19	0.23	3
290	4.24	19	0.22	3
300	3.98	19	0.22	3
310	4.04	15	0.15	3
320	4.04	15	0.2	4
330	4.16	15	0.22	4
340	3.92	15	0.22	4
350	3.88	15	0.24	4
360	3.61	12	0.22	4
370	3.67	12	0.24	4
380	3.53	12	0.24	4
390	3.57	12	0.27	4
400	3.57	12	0.25	4
410	3.99	13	0.25	4
420	4.03	13	0.24	4
430	3.84	13	0.23	4
440	4.07	16	0.17	2
450	4.1	17	0.17	2
460	3.91	17	0.17	2
470	4.15	17	0.19	2
480	4.19	17	0.17	2
490	3.86	16	0.16	2
500	3.83	16	0.19	2
510	3.68	14	0.17	2
520	3.65	14	0.15	2
530	3.76	18	0.15	2
540	3.77	18	0.14	2
550	3.81	20	0.16	2
560	4.1	20	0.16	2
570	3.87	20	0.15	2
580	3.75	18	0.15	2
590	3.46	18	0.17	2
600	3.59	18	0.17	2
610	3.82	20	0.16	2
620	3.7	20	0.15	2
630	3.63	20	0.15	2
640	3.63	20	0.17	2
650	3.87	20	0.17	2
660	4.0	20	0.17	2
670	3.97	20	0.19	2
680	3.98	23	0.21	2
690	3.96	23	0.2	2
700	4.0	23	0.18	2
710	3.96	18	0.18	2
720	4.06	18	0.18	2
730	4.16	18	0.16	2
740	4.14	18	0.19	2
750	4.38	18	0.18	2
760	4.46	18	0.18	2
770	4.56	18	0.2	2
780	4.72	18	0.18	2
790	4.56	18	0.17	2
800	4.38	18	0.2	2
810	4.38	19	0.23	2
820	4.54	19	0.22	2
830	4.43	19	0.2	2
840	4.06	18	0.2	2
850	4.08	18	0.21	2
860	4.22	18	0.22	2
870	4.23	18	0.21	2
880	3.9	17	0.18	1
890	3.9	17	0.19	2
900	3.81	17	0.19	1
910	3.73	17	0.16	1
920	3.41	12	0.18	1
930	3.48	14	0.14	1
940	3.64	18	0.14	1
950	3.79	18	0.13	1
960	3.76	18	0.11	1
970	3.8	18	0.11	1
980	3.68	18	0.1	1
990	3.54	18	0.1	1
1000	3.46	18	0.11	1

Run 7
100	4.07	15	0.25	2
110	4.14	15	0.25	2
120	4.18	15	0.22	2
130	4.2	15	0.23	2
140	4.18	15	0.24	2
150	3.97	15	0.21	2
160	3.79	15	0.23	3
170	3.72	15	0.24	3
180	3.81	15	0.2	3
190	3.91	15	0.21	3
200	4.0	15	0.2	3
210	4.16	16	0.19	3
220	4.09	16	0.21	3
230	4.26	16	0.17	3
240	4.21	16	0.19	3
250	4.18	16	0.19	3
260	3.99	16	0.22	3
270	3.68	16	0.22	3
280	3.87	16	0.25	3
290	4.07	16	0.25	3
300	3.96	16	0.25	2
310	3.9	16	0.25	2
320	3.92	16	0.23	1
330	4.03	16	0.24	2
340	4.19	16	0.25	2
350	4.39	16	0.24	2
360	4.6	16	0.25	2
370	4.61	16	0.24	2
380	4.62	16	0.24	2
390	4.45	16	0.25	2
400	4.57	16	0.24	2
410	4.12	16	0.23	2
420	4.3	16	0.22	2
430	4.27	16	0.22	2
440	4.19	16	0.2	2
450	4.16	16	0.2	2
460	4.15	16	0.21	2
470	4.31	21	0.21	2
480	4.32	21	0.2	2
490	4.67	21	0.2	2
500	4.62	21	0.19	2
510	4.53	21	0.18	2
520	4.57	21	0.19	2
530	4.58	21	0.2	2
540	4.67	21	0.2	2
550	4.56	21	0.19	2
560	4.68	21	0.19	2
570	4.54	21	0.18	2
580	4.34	21	0.18	2
590	4.59	21	0.22	2
600	4.57	21	0.16	2
610	4.59	21	0.15	2
620	4.4	21	0.13	2
630	3.98	17	0.15	2
640	3.94	17	0.15	2
650	4.05	17	0.16	2
660	4.02	17	0.15	2
670	4.06	17	0.14	2
680	3.68	16	0.15	2
690	3.78	16	0.14	2
700	4.0	21	0.16	2
710	3.94	21	0.15	2
720	3.98	21	0.16	2
730	3.84	21	0.16	2
740	3.81	21	0.14	2
750	3.69	21	0.14	2
760	3.88	21	0.13	2
770	3.96	21	0.11	2
780	4.31	21	0.14	2
790	4.35	21	0.12	2
800	4.61	21	0.11	2
810	4.54	21	0.13	2
820	4.34	21	0.1	1
830	4.08	19	0.11	1
840	4.12	19	0.11	1
850	4.19	19	0.13	1
860	4.31	19	0.15	1
870	4.0	19	0.15	1
880	4.35	25	0.15	2
890	4.61	25	0.16	2
900	4.72	25	0.14	2
910	4.65	25	0.15	2
920	4.28	25	0.16	2
930	4.2	25	0.17	2
940	3.9	25	0.16	2
950	4.01	25	0.17	2
960	3.69	24	0.18	2
970	3.55	19	0.18	2
980	3.55	19	0.19	2
990	3.46	19	0.2	2
1000	3.5	19	0.22	2

